Naam,Adres,Postcode,Plaats,Opgericht,Klanten,Domeinen,Servers,Medewerkers (fte),NPS (%),Resellers toegestaan,Geschatte omzet (*miljoen euro),Diensten
Echelon,Hengelosestraat 705,7521PA,Enschede,01-11-1986,Geen opgave,Geen opgave,Geen opgave,11.0,-100,,2.2,"Domeinnaam, Webhosting, Colocatie, Dedicated server, Virtual Private Server, SSL-Certificaat, Breedband internet, VoIP-telefonie, Netwerk connectiviteit, Managed server."
Troublefree,Pletterij 1A,2211JT,Noordwijkerhout,01-01-2006,Geen opgave,Geen opgave,Geen opgave,5.0,-100,1,1.0,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Colocatie, Dedicated server, SSL-Certificaat."
Hostdozer,De Mient 24,2903 LC,Capelle aan den Ijssel,23-06-2003,Geen opgave,Geen opgave,Geen opgave,7.0,-100,1,1.4,"Domeinnaam, Webhosting, Webhosting reselling, Dedicated server, SSL-Certificaat, E-mail hosting."
Luna.nl B.V.,Puntegaalstraat 109,3024 EB,Rotterdam,01-01-1994,Geen opgave,Geen opgave,Geen opgave,10.0,-100,,2.0,"Domeinnaam, Webhosting, Dedicated server, Virtual Private Server, SSL-Certificaat, Breedband internet, VoIP-telefonie, Netwerk connectiviteit, Online backup, Managed server, E-mail hosting."
webhostwinkel.nl,Postbus 55405,3008EK,Rotterdam,01-07-2008,500,2000,5,6.0,-100,1,1.2,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, SSL-Certificaat, E-mail hosting."
i4Networks,Tivolilaan 205,6824 BV,Arnhem,01-01-1985,500,3000,Geen opgave,9.0,-100,1,1.8,"Domeinnaam, Domein reselling, Webhosting, Colocatie, Dedicated server, Breedband internet, Netwerk connectiviteit."
Eagerly Internet,Herenstraat 1B,3512 KA,Utrecht,16-09-1999,200,Geen opgave,Geen opgave,7.0,-100,,1.4,"Domeinnaam, Webhosting, Colocatie, Dedicated server, Virtual Private Server, SSL-Certificaat, Managed server, E-mail hosting."
Final Frontier,Cypergrasweg 3C,1313AK,Almere,01-10-1998,1000,Geen opgave,500,9.0,-100,1,1.8,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Streaming media, Colocatie, Dedicated server, Virtual Private Server, Gameserver, SSL-Certificaat, VoIP-telefonie, Netwerk connectiviteit, Online backup, Managed server, E-mail hosting."
WindhoosNL,Goudenregenplantsoen 177,2982 TD,Ridderkerk,09-03-2015,900,Geen opgave,35,8.0,-100,,1.6,"Colocatie, Dedicated server, Virtual Private Server, SSL-Certificaat, Breedband internet, VoIP-telefonie, Usenet toegang, Managed server, E-mail hosting."
Symplex Internet Solutions,beekpunge 104,5931 DR,TEGELEN,23-10-2011,25,27,3,21.0,-100,1,4.2,"Domeinnaam, Webhosting, Webhosting reselling, Dedicated server, Virtual Private Server, Online backup."
MONI b.v.,Midden Engweg 27,3882 TS,Putten,01-05-2014,200,1,1,12.0,-100,,2.4,Netwerk connectiviteit.
OSSO BV,Helperpark 282A,9723ZA,Groningen,01-01-2005,Geen opgave,Geen opgave,Geen opgave,6.0,-100,,1.2,"Dedicated server, Virtual Private Server, Netwerk connectiviteit, Online backup, Managed server."
Previder,Expolaan 50,7556BE,Hengelo OV,01-12-1995,Geen opgave,Geen opgave,Geen opgave,45.0,-100,1,9.0,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Streaming media, Colocatie, Dedicated server, Virtual Private Server, Gameserver, SSL-Certificaat, Breedband internet, VoIP-telefonie, Netwerk connectiviteit, Online backup, Managed server, E-mail hosting."
Business Hosting,Tivolilaan 205,6824 BV,Arnhem,10-01-2000,5000,15000,300,5.0,-100,1,1.0,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Colocatie, Dedicated server, Virtual Private Server, SSL-Certificaat, Breedband internet, Netwerk connectiviteit, Online backup, Managed server, E-mail hosting."
Intermax Cloudsourcing,Schouwburgplein 30-34,3012 CL,Rotterdam,14-09-1994,1800,13500,900,28.0,-100,1,5.6,"Domeinnaam, Webhosting, Webhosting reselling, Streaming media, Colocatie, Dedicated server, Virtual Private Server, SSL-Certificaat, Breedband internet, VoIP-telefonie, Netwerk connectiviteit, Online backup, Managed server, E-mail hosting."
FiberRing,J.W. Lucasweg 35,2031 BE,Haarlem,01-01-1997,1200,Geen opgave,Geen opgave,20.0,-100,,4.0,"Breedband internet, Netwerk connectiviteit."
PLANT hosting & co-location,Science Park 140,1098 XG,Amsterdam,01-11-1995,4000,5000,400,33.0,-100,1,6.6,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Streaming media, Colocatie, Dedicated server, Virtual Private Server, Gameserver, SSL-Certificaat, Netwerk connectiviteit, Online backup, Managed server."
A2B Internet,Wielingenstraat 93,1441 ZN,Purmerend,15-04-2010,Geen opgave,Geen opgave,Geen opgave,5.0,-100,,1.0,"Colocatie, Breedband internet, Netwerk connectiviteit."
Connect Datacenters,Hoenderkamp 20,7812 VZ,Emmen,12-10-2000,150,1000,500,18.0,-100,1,3.6,"Domeinnaam, Webhosting, Webhosting reselling, Colocatie, Dedicated server, Virtual Private Server, Gameserver, SSL-Certificaat, Breedband internet, VoIP-telefonie, Netwerk connectiviteit, Online backup, Managed server, E-mail hosting."
Sigma Solutions,J. Duikerweg 10a,1703DH,Heerhugowaard,01-01-2003,100,1000,20,8.0,-100,,1.6,"Domeinnaam, Webhosting, Dedicated server, Virtual Private Server, SSL-Certificaat, Managed server."
ZXFactory B.V.,Telefoonweg 44,6712GD,Ede,01-01-1995,600,2000,120,52.0,-100,1,10.4,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Colocatie, Dedicated server, Virtual Private Server, SSL-Certificaat, Breedband internet, Netwerk connectiviteit, Managed server."
XRC networks BV,Noorderbaan 12,5388RB,Nistelrode,01-06-2007,13000,1200,Geen opgave,92.0,-100,1,18.4,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Streaming media, Colocatie, Dedicated server, Virtual Private Server, SSL-Certificaat, Breedband internet, VoIP-telefonie, Netwerk connectiviteit, Online backup, Managed server, E-mail hosting."
Nines B.V.,Kanaalweg 29,3526 KM,Utrecht,00-00-0000,500,5000,750,25.0,-100,,5.0,"Domeinnaam, Webhosting, Streaming media, Dedicated server, Virtual Private Server, SSL-Certificaat, Netwerk connectiviteit, Online backup, Managed server."
ProcoliX,Elektronicaweg 18,2628 XG,Delft,12-12-2000,100,350,350,6.0,-100,,1.2,"Domeinnaam, Webhosting, Virtual Private Server, Netwerk connectiviteit, Managed server."
